,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
162832,9/8/2022,10:45:00,11:00:00,LineaB,LineaB_Florida_O_Turn01,Florida,12,0,0,12
64244,4/8/2022,07:45:00,08:00:00,LineaB,LineaB_Pasteur_S_Turn03,Pasteur,20,0,0,20
280191,15/8/2022,15:45:00,16:00:00,LineaC,LineaC_AVMayo_S_Turn01,Avenida de Mayo,6,0,0,6
209776,11/8/2022,15:30:00,15:45:00,LineaC,LineaC_Retiro_Turn09,Retiro,63,0,1,64
575017,30/8/2022,22:45:00,23:00:00,LineaC,LineaC_Constitucion_Turn22,Constitucion,14,0,4,18
205095,11/8/2022,11:45:00,12:00:00,LineaC,LineaC_Constitucion_Turn21,Constitucion,161,0,1,162
311837,17/8/2022,09:30:00,09:45:00,LineaC,LineaC_Retiro_Turn12,Retiro,115,0,7,122
240024,13/8/2022,07:00:00,07:15:00,LineaB,LineaB_Medrano_N_Turn01,Medrano,4,0,0,4
456434,24/8/2022,19:15:00,19:30:00,LineaB,LineaB_Florida_E_Turn01,Florida,20,0,0,20
62096,4/8/2022,05:45:00,06:00:00,LineaC,LineaC_AVMayo_S_Turn01,Avenida de Mayo,2,0,0,2
99397,5/8/2022,19:45:00,20:00:00,LineaA,LineaA_PJunta_N_Turn01,Primera Junta,22,0,1,23
58439,3/8/2022,20:00:00,20:15:00,LineaC,LineaC_Constitucion_Turn25,Constitucion,24,0,1,25
404755,22/8/2022,10:15:00,10:30:00,LineaB,LineaB_Florida_E_Turn02,Florida,8,0,1,9
476250,25/8/2022,19:00:00,19:15:00,LineaA,LineaA_CBarros_S_Asc01,Castro Barros,2,0,1,3
427075,23/8/2022,12:00:00,12:15:00,LineaA,LineaA_Peru_S_Turn06,Peru,2,0,0,2
470364,25/8/2022,14:15:00,14:30:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,32,0,1,33
296343,16/8/2022,13:45:00,14:00:00,LineaA,LineaA_Flores_Este_Turn03,Flores,11,0,0,11
275514,15/8/2022,10:45:00,11:00:00,LineaB,LineaB_Alem_S_Turn03,Leandro N. Alem,10,0,0,10
494926,26/8/2022,17:30:00,17:45:00,LineaC,LineaC_Constitucion_Turn09,Constitucion,6,0,0,6
227557,12/8/2022,13:15:00,13:30:00,LineaB,LineaB_Tronador_Turn01,Tronador,25,0,0,25
342503,18/8/2022,20:00:00,20:15:00,LineaB,LineaB_Dorrego_N_Turn05,Dorrego,23,0,2,25
321591,17/8/2022,19:30:00,19:45:00,LineaA,LineaA_RJaneiro_N_Turn01,Rio de Janeiro,21,0,2,23
288783,16/8/2022,07:15:00,07:30:00,LineaA,LineaA_SnzPena_N_Turn02,Saenz Peña ,10,0,3,13
210846,11/8/2022,16:30:00,16:45:00,LineaC,LineaC_Retiro_Turn10,Retiro,125,0,5,130
204738,11/8/2022,11:15:00,11:30:00,LineaA,LineaA_PMayo_E_Turn03,Plaza de Mayo,174,0,1,175
86774,5/8/2022,09:30:00,09:45:00,LineaA,LineaA_Peru_N_Turn01,Peru,2,0,0,2
407591,22/8/2022,12:45:00,13:00:00,LineaB,LineaB_Pellegrini_O_Turn02,Carlos Pellegrini,58,0,4,62
