,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
305954,16/8/2022,22:00:00,22:15:00,LineaA,LineaA_Congreso_S_Turn02,Congreso,12,0,0,12
581760,31/8/2022,11:00:00,11:15:00,LineaA,LineaA_Carabobo_E_Turn04,Carabobo,9,0,0,9
41047,3/8/2022,05:15:00,05:30:00,LineaB,LineaB_Uruguay_S_Turn01,Uruguay,1,0,0,1
162938,9/8/2022,10:45:00,11:00:00,LineaA,LineaA_Miserere_Q_HALL_Turn06,Plaza Miserere,22,0,5,27
494272,26/8/2022,17:00:00,17:15:00,LineaB,LineaB_Alem_S_Turn03,Leandro N. Alem,53,0,2,55
592455,31/8/2022,20:00:00,20:15:00,LineaA,LineaA_CBarros_N_Turn03,Castro Barros,20,0,1,21
491337,26/8/2022,14:30:00,14:45:00,LineaB,LineaB_LosIncas_Turn03,Los Incas,26,0,0,26
426687,23/8/2022,11:30:00,11:45:00,LineaB,LineaB_Uruguay_N_Turn01,Uruguay,12,0,1,13
49038,3/8/2022,12:15:00,12:30:00,LineaB,LineaB_Gardel_N_Turn01,Carlos Gardel,37,0,2,39
139417,8/8/2022,08:15:00,08:30:00,LineaA,LineaA_Carabobo_E_Turn03,Carabobo,44,0,0,44
379578,20/8/2022,18:15:00,18:30:00,LineaA,LineaA_Piedras_S_Turn01,Piedras,7,0,3,10
462373,25/8/2022,07:00:00,07:15:00,LineaB,LineaB_Pasteur_S_Turn02,Pasteur,17,0,1,18
564873,30/8/2022,13:45:00,14:00:00,LineaB,LineaB_Pellegrini_E_Turn01,Carlos Pellegrini,6,0,0,6
337349,18/8/2022,15:45:00,16:00:00,LineaA,LineaA_Puan_O_Turn02,Puan,17,0,0,17
440290,24/8/2022,05:30:00,05:45:00,LineaA,LineaA_Lima_N_Turn01,Lima,1,0,0,1
525347,28/8/2022,13:15:00,13:30:00,LineaC,LineaC_Constitucion_Turn18,Constitucion,12,0,0,12
288508,16/8/2022,07:00:00,07:15:00,LineaC,LineaC_Constitucion_Turn12,Constitucion,100,0,2,102
139272,8/8/2022,08:15:00,08:30:00,LineaC,LineaC_Constitucion_Turn11,Constitucion,17,0,37,54
211701,11/8/2022,17:00:00,17:15:00,LineaB,LineaB_Dorrego_N_Turn01,Dorrego,39,0,4,43
113014,6/8/2022,15:15:00,15:30:00,LineaB,LineaB_Pueyr_N_Turn03,Pueyrredon,21,0,0,21
292136,16/8/2022,10:15:00,10:30:00,LineaA,LineaA_PMayo_O_Turn04,Plaza de Mayo,7,0,0,7
34247,2/8/2022,17:00:00,17:15:00,LineaA,LineaA_Peru_N_Turn01,Peru,24,0,0,24
457269,24/8/2022,20:00:00,20:15:00,LineaB,LineaB_Pellegrini_E_Turn01,Carlos Pellegrini,23,0,0,23
512301,27/8/2022,16:15:00,16:30:00,LineaB,LineaB_Alem_N_Turn02,Leandro N. Alem,12,0,0,12
134235,7/8/2022,20:15:00,20:30:00,LineaC,LineaC_Constitucion_Turn17,Constitucion,22,0,0,22
249981,13/8/2022,16:15:00,16:30:00,LineaC,LineaC_Indepen_Turn03,Independencia,25,0,1,26
243483,13/8/2022,10:15:00,10:30:00,LineaA,LineaA_Miserere_S_Turn02,Plaza Miserere,29,0,1,30
68930,4/8/2022,11:45:00,12:00:00,LineaC,LineaC_AVMayo_N_Turn01,Avenida de Mayo,11,0,2,13
425754,23/8/2022,10:45:00,11:00:00,LineaB,LineaB_Florida_E_Turn01,Florida,10,0,0,10
567654,30/8/2022,16:15:00,16:30:00,LineaB,LineaB_Florida_O_Turn01,Florida,55,0,6,61
277398,15/8/2022,12:45:00,13:00:00,LineaB,LineaB_Alem_S_Turn01,Leandro N. Alem,11,0,6,17
118192,6/8/2022,20:00:00,20:15:00,LineaB,LineaB_Lacroze_O_Turn05,Federico Lacroze,10,0,0,10
197982,11/8/2022,05:30:00,05:45:00,LineaA,LineaA_Flores_Este_Turn01,Flores,6,0,1,7
280033,15/8/2022,15:30:00,15:45:00,LineaA,LineaA_Peru_N_Turn01,Peru,3,0,0,3
478946,25/8/2022,21:30:00,21:45:00,LineaB,LineaB_Pueyr_N_Turn01,Pueyrredon,6,0,0,6
322490,17/8/2022,20:15:00,20:30:00,LineaC,LineaC_Indepen_Turn03,Independencia,18,0,4,22
252224,13/8/2022,18:15:00,18:30:00,LineaB,LineaB_CallaoB_N_Turn03,Callao.B,1,0,0,1
503126,27/8/2022,07:30:00,07:45:00,LineaC,LineaC_Retiro_Turn05,Retiro,2,0,0,2
215092,11/8/2022,20:00:00,20:15:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,39,0,3,42
348611,19/8/2022,08:00:00,08:15:00,LineaC,LineaC_Constitucion_Turn13,Constitucion,84,0,0,84
9869,1/8/2022,14:00:00,14:15:00,LineaA,LineaA_PMayo_O_Turn02,Plaza de Mayo,10,0,1,11
7522,1/8/2022,12:00:00,12:15:00,LineaC,LineaC_Constitucion_Turn20,Constitucion,166,0,0,166
222004,12/8/2022,08:45:00,09:00:00,LineaC,LineaC_Constitucion_Plaza_Turn,Constitucion,0,0,2,2
279678,15/8/2022,15:15:00,15:30:00,LineaC,LineaC_Retiro_Turn07,Retiro,7,0,0,7
548155,29/8/2022,16:45:00,17:00:00,LineaA,LineaA_Acoyte_N_Turn05,Acoyte,80,1,7,88
493424,26/8/2022,16:15:00,16:30:00,LineaA,LineaA_Miserere_S_Turn02,Plaza Miserere,20,0,0,20
263979,14/8/2022,14:00:00,14:15:00,LineaC,LineaC_Constitucion_Turn09,Constitucion,5,0,0,5
145077,8/8/2022,13:00:00,13:15:00,LineaA,LineaA_Pasco_Turn03,Pasco,17,0,1,18
392390,21/8/2022,15:15:00,15:30:00,LineaA,LineaA_Carabobo_O_Turn04,Carabobo,8,0,1,9
187087,10/8/2022,13:45:00,14:00:00,LineaB,LineaB_Pellegrini_E_Turn07,Carlos Pellegrini,56,0,3,59
381263,20/8/2022,19:45:00,20:00:00,LineaB,LineaB_Alem_S_Turn01,Leandro N. Alem,39,0,0,39
308678,17/8/2022,06:45:00,07:00:00,LineaA,LineaA_SanPedrito_Oeste_Turn01,San Pedrito,57,0,6,63
136447,8/8/2022,05:30:00,05:45:00,LineaB,LineaB_Lacroze_O_Turn03,Federico Lacroze,0,0,1,1
486623,26/8/2022,10:30:00,10:45:00,LineaA,LineaA_SnzPena_S_Turn01,Saenz Peña ,5,0,2,7
133420,7/8/2022,19:30:00,19:45:00,LineaC,LineaC_Moreno_N_Turn02,Mariano Moreno,4,0,0,4
287663,16/8/2022,06:15:00,06:30:00,LineaB,LineaB_Lacroze_O_Turn08,Federico Lacroze,26,0,0,26
144246,8/8/2022,12:15:00,12:30:00,LineaA,LineaA_SanPedrito_Oeste_Turn05,San Pedrito,20,0,1,21
169194,9/8/2022,16:00:00,16:15:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,45,0,0,45
575690,31/8/2022,05:30:00,05:45:00,LineaB,LineaB_Pueyr_S_Turn01,Pueyrredon,2,0,0,2
430376,23/8/2022,14:45:00,15:00:00,LineaA,LineaA_Acoyte_N_Turn05,Acoyte,32,0,0,32
107470,6/8/2022,10:15:00,10:30:00,LineaB,LineaB_Pellegrini_E_Turn04,Carlos Pellegrini,25,0,0,25
412731,22/8/2022,17:00:00,17:15:00,LineaB,LineaB_Pasteur_N_Turn01,Pasteur,26,0,0,26
400156,22/8/2022,06:15:00,06:30:00,LineaB,LineaB_Pasteur_S_Turn03,Pasteur,12,0,0,12
49313,3/8/2022,12:30:00,12:45:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,15,0,2,17
378736,20/8/2022,17:30:00,17:45:00,LineaB,LineaB_Florida_O_Turn05,Florida,10,0,0,10
497727,26/8/2022,19:45:00,20:00:00,LineaA,LineaA_Peru_S_Turn03,Peru,8,0,1,9
181321,10/8/2022,09:00:00,09:15:00,LineaC,LineaC_Constitucion_Turn10,Constitucion,97,0,0,97
247492,13/8/2022,14:00:00,14:15:00,LineaA,LineaA_Pasco_Turn02,Pasco,15,0,0,15
547029,29/8/2022,16:00:00,16:15:00,LineaB,LineaB_LosIncas_Turn06,Los Incas,0,0,1,1
431214,23/8/2022,15:15:00,15:30:00,LineaB,LineaB_Alem_N_Turn04,Leandro N. Alem,2,0,0,2
98375,5/8/2022,19:00:00,19:15:00,LineaB,LineaB_Malabia_N_Turn03,Malabia,37,0,11,48
343789,18/8/2022,21:15:00,21:30:00,LineaA,LineaA_Loria_N_Turn02,Loria,12,0,0,12
55156,3/8/2022,17:15:00,17:30:00,LineaB,LineaB_Alem_N_Turn04,Leandro N. Alem,21,0,0,21
215024,11/8/2022,20:00:00,20:15:00,LineaA,LineaA_PJunta_S_Turn05,Primera Junta,24,0,0,24
207732,11/8/2022,13:45:00,14:00:00,LineaB,LineaB_LosIncas_Turn07,Los Incas,0,0,3,3
264720,14/8/2022,14:45:00,15:00:00,LineaC,LineaC_Constitucion_Turn17,Constitucion,11,0,0,11
466587,25/8/2022,10:45:00,11:00:00,LineaB,LineaB_JMRosas_Este_Turn02,Rosas,35,0,1,36
377999,20/8/2022,16:45:00,17:00:00,LineaA,LineaA_Piedras_S_Turn03,Piedras,3,0,0,3
159521,9/8/2022,08:00:00,08:15:00,LineaA,LineaA_Flores_Este_Turn01,Flores,91,0,4,95
373468,20/8/2022,12:30:00,12:45:00,LineaC,LineaC_Indepen_Turn03,Independencia,17,0,1,18
469471,25/8/2022,13:15:00,13:30:00,LineaB,LineaB_Florida_O_Turn04,Florida,25,0,3,28
161368,9/8/2022,09:30:00,09:45:00,LineaA,LineaA_Alberti_Turn02,Alberti,14,0,0,14
24885,2/8/2022,09:15:00,09:30:00,LineaA,LineaA_Miserere_Q_HALL_Turn02,Plaza Miserere,33,0,0,33
291143,16/8/2022,09:15:00,09:30:00,LineaB,LineaB_Alem_S_Turn05,Leandro N. Alem,2,0,1,3
460066,24/8/2022,22:45:00,23:00:00,LineaA,LineaA_Carabobo_E_Turn02,Carabobo,1,0,2,3
277381,15/8/2022,12:45:00,13:00:00,LineaC,LineaC_Retiro_Turn08,Retiro,14,0,0,14
198192,11/8/2022,05:45:00,06:00:00,LineaA,LineaA_Peru_N_Turn02,Peru,1,0,0,1
475473,25/8/2022,18:30:00,18:45:00,LineaA,LineaA_Puan_O_Turn01,Puan,25,0,0,25
592023,31/8/2022,19:30:00,19:45:00,LineaA,LineaA_Miserere_S_Turn02,Plaza Miserere,11,0,0,11
336324,18/8/2022,14:45:00,15:00:00,LineaB,LineaB_Gardel_N_Turn03,Carlos Gardel,23,0,0,23
143633,8/8/2022,11:45:00,12:00:00,LineaC,LineaC_Lavalle_N_Turn02,Lavalle,7,0,0,7
319988,17/8/2022,18:00:00,18:15:00,LineaC,LineaC_Constitucion_Plaza_Turn06,Constitucion,7,0,0,7
330798,18/8/2022,10:15:00,10:30:00,LineaA,LineaA_Acoyte_N_Turn04,Acoyte,16,0,0,16
515819,27/8/2022,19:30:00,19:45:00,LineaB,LineaB_JMRosas_Oeste_Turn02,Rosas,19,0,0,19
108943,6/8/2022,11:30:00,11:45:00,LineaC,LineaC_AVMayo_S_Turn01,Avenida de Mayo,8,0,0,8
513254,27/8/2022,17:00:00,17:15:00,LineaC,LineaC_SanJuan_Turn01,San Juan,21,0,0,21
471922,25/8/2022,15:30:00,15:45:00,LineaA,LineaA_PJunta_N_Turn01,Primera Junta,11,1,4,16
180991,10/8/2022,08:45:00,09:00:00,LineaB,LineaB_Medrano_S_Turn01,Medrano,0,0,1,1
212214,11/8/2022,17:30:00,17:45:00,LineaB,LineaB_Florida_O_Turn01,Florida,84,0,0,84
277803,15/8/2022,13:15:00,13:30:00,LineaB,LineaB_JMRosas_Este_Turn02,Rosas,16,0,0,16
50734,3/8/2022,13:45:00,14:00:00,LineaA,LineaA_RJaneiro_S_Turn02,Rio de Janeiro,16,0,3,19
580239,31/8/2022,09:45:00,10:00:00,LineaA,LineaA_RJaneiro_S_Turn01,Rio de Janeiro,19,0,4,23
415258,22/8/2022,19:00:00,19:15:00,LineaB,LineaB_Pasteur_N_Turn02,Pasteur,10,0,0,10
322029,17/8/2022,19:45:00,20:00:00,LineaC,LineaC_Retiro_Turn03,Retiro,6,0,1,7
115165,6/8/2022,17:15:00,17:30:00,LineaB,LineaB_Lacroze_O_Turn04,Federico Lacroze,11,0,0,11
520801,28/8/2022,08:45:00,09:00:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,6,0,0,6
252002,13/8/2022,18:00:00,18:15:00,LineaC,LineaC_DNorte_S_Turn02,Diagonal Norte,6,0,0,6
7796,1/8/2022,12:15:00,12:30:00,LineaA,LineaA_CBarros_N_Turn01,Castro Barros,25,0,0,25
398897,21/8/2022,21:45:00,22:00:00,LineaA,LineaA_PJunta_S_Turn04,Primera Junta,4,0,0,4
86147,5/8/2022,08:45:00,09:00:00,LineaA,LineaA_Piedras_S_Turn02,Piedras,4,0,0,4
486463,26/8/2022,10:30:00,10:45:00,LineaC,LineaC_Lavalle_S_Turn02,Lavalle,13,0,0,13
160136,9/8/2022,08:30:00,08:45:00,LineaB,LineaB_Lacroze_O_Turn07,Federico Lacroze,91,0,3,94
382258,20/8/2022,20:45:00,21:00:00,LineaA,LineaA_SanPedrito_Oeste_Turn02,San Pedrito,8,0,0,8
214389,11/8/2022,19:15:00,19:30:00,LineaB,LineaB_Lacroze_E_Turn06,Federico Lacroze,32,0,0,32
260710,14/8/2022,11:00:00,11:15:00,LineaA,LineaA_SnzPena_S_Turn03,Saenz Peña ,7,0,1,8
453351,24/8/2022,16:45:00,17:00:00,LineaB,LineaB_Pasteur_N_Turn01,Pasteur,22,0,0,22
189139,10/8/2022,15:30:00,15:45:00,LineaA,LineaA_RJaneiro_N_Turn01,Rio de Janeiro,32,0,2,34
10149,1/8/2022,14:00:00,14:15:00,LineaB,LineaB_Medrano_N_Turn04,Medrano,0,0,2,2
207181,11/8/2022,13:30:00,13:45:00,LineaA,LineaA_CBarros_N_Turn02,Castro Barros,25,0,2,27
192600,10/8/2022,18:15:00,18:30:00,LineaA,LineaA_Miserere_S_Turn01,Plaza Miserere,0,0,2,2
47010,3/8/2022,10:30:00,10:45:00,LineaB,LineaB_Medrano_S_Turn01,Medrano,26,0,2,28
118986,6/8/2022,20:45:00,21:00:00,LineaA,LineaA_Piedras_S_Turn03,Piedras,5,0,1,6
409857,22/8/2022,14:30:00,14:45:00,LineaA,LineaA_Puan_E_Turn02,Puan,17,0,1,18
215100,11/8/2022,20:00:00,20:15:00,LineaA,LineaA_SanPedrito_Oeste_Turn06,San Pedrito,5,0,1,6
70154,4/8/2022,12:45:00,13:00:00,LineaC,LineaC_Constitucion_Turn18,Constitucion,45,0,0,45
486120,26/8/2022,10:15:00,10:30:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,6,0,1,7
255388,13/8/2022,21:15:00,21:30:00,LineaB,LineaB_Echeverria_Oeste_Turn02,Echeverria,13,0,0,13
481657,26/8/2022,06:15:00,06:30:00,LineaB,LineaB_Alem_N_Turn03,Leandro N. Alem,6,0,0,6
204267,11/8/2022,11:00:00,11:15:00,LineaB,LineaB_Florida_E_Turn01,Florida,12,0,0,12
65900,4/8/2022,09:15:00,09:30:00,LineaA,LineaA_Flores_Oeste_Turn04,Flores,28,0,1,29
9259,1/8/2022,13:15:00,13:30:00,LineaC,LineaC_Constitucion_Plaza_Turn11,Constitucion,48,0,9,57
73511,4/8/2022,15:30:00,15:45:00,LineaC,LineaC_Constitucion_Turn22,Constitucion,112,0,3,115
286582,16/8/2022,05:15:00,05:30:00,LineaB,LineaB_LosIncas_Turn05,Los Incas,2,0,0,2
573627,30/8/2022,21:15:00,21:30:00,LineaB,LineaB_Malabia_N_Turn03,Malabia,7,0,0,7
539473,29/8/2022,09:45:00,10:00:00,LineaA,LineaA_Pasco_Turn03,Pasco,12,0,3,15
177503,10/8/2022,05:30:00,05:45:00,LineaC,LineaC_Constitucion_Turn15,Constitucion,68,0,6,74
322322,17/8/2022,20:00:00,20:15:00,LineaC,LineaC_Constitucion_Turn20,Constitucion,60,0,0,60
422970,23/8/2022,08:30:00,08:45:00,LineaB,LineaB_Alem_S_Turn03,Leandro N. Alem,39,0,4,43
183715,10/8/2022,11:00:00,11:15:00,LineaB,LineaB_Echeverria_Este_Turn02,Echeverria,19,0,1,20
563735,30/8/2022,13:00:00,13:15:00,LineaA,LineaA_Peru_S_Asc01,Peru,3,0,0,3
539267,29/8/2022,09:30:00,09:45:00,LineaC,LineaC_Retiro_Turn02,Retiro,1,0,0,1
71494,4/8/2022,13:45:00,14:00:00,LineaA,LineaA_Piedras_N_Turn02,Piedras,6,0,1,7
466630,25/8/2022,10:45:00,11:00:00,LineaB,LineaB_Pueyr_N_Turn03,Pueyrredon,11,0,0,11
479127,25/8/2022,21:45:00,22:00:00,LineaA,LineaA_SanPedrito_Este_Turn05,San Pedrito,2,0,0,2
36835,2/8/2022,19:15:00,19:30:00,LineaC,LineaC_Moreno_N_Turn02,Mariano Moreno,7,0,0,7
450886,24/8/2022,14:45:00,15:00:00,LineaA,LineaA_PJunta_N_Turn03,Primera Junta,5,0,1,6
218049,11/8/2022,23:00:00,23:15:00,LineaA,LineaA_SnzPena_N_Turn02,Saenz Peña ,2,0,0,2
288020,16/8/2022,06:45:00,07:00:00,LineaC,LineaC_SanMartin_N_Turn02,General San Martin,7,0,0,7
302072,16/8/2022,18:30:00,18:45:00,LineaB,LineaB_Medrano_N_Turn03,Medrano,56,0,5,61
62008,4/8/2022,05:45:00,06:00:00,LineaC,LineaC_Constitucion_Turn23,Constitucion,66,0,1,67
94400,5/8/2022,15:45:00,16:00:00,LineaB,LineaB_Gallardo_N_Turn01,Angel Gallardo,34,0,0,34
8910,1/8/2022,13:00:00,13:15:00,LineaA,LineaA_Puan_E_Turn01,Puan,19,0,2,21
583335,31/8/2022,12:15:00,12:30:00,LineaA,LineaA_CBarros_S_Turn02,Castro Barros,32,0,3,35
22344,2/8/2022,07:15:00,07:30:00,LineaB,LineaB_JMRosas_Oeste_Turn01,Rosas,53,0,2,55
220144,12/8/2022,07:00:00,07:15:00,LineaA,LineaA_Flores_Oeste_Turn04,Flores,34,2,1,37
159530,9/8/2022,08:00:00,08:15:00,LineaB,LineaB_Dorrego_N_Turn02,Dorrego,20,1,2,23
292714,16/8/2022,10:45:00,11:00:00,LineaB,LineaB_Echeverria_Este_Turn01,Echeverria,8,0,0,8
451389,24/8/2022,15:00:00,15:15:00,LineaA,LineaA_Carabobo_O_Turn04,Carabobo,11,0,0,11
484432,26/8/2022,08:45:00,09:00:00,LineaB,LineaB_Alem_S_Turn01,Leandro N. Alem,73,0,2,75
513115,27/8/2022,17:00:00,17:15:00,LineaC,LineaC_Constitucion_Plaza_Turn06,Constitucion,6,0,0,6
531550,28/8/2022,19:15:00,19:30:00,LineaB,LineaB_Lacroze_S_Turn01,Federico Lacroze,4,0,0,4
204795,11/8/2022,11:30:00,11:45:00,LineaC,LineaC_Constitucion_Turn13,Constitucion,24,0,0,24
463818,25/8/2022,08:15:00,08:30:00,LineaB,LineaB_Florida_O_Turn03,Florida,7,0,1,8
539657,29/8/2022,09:45:00,10:00:00,LineaA,LineaA_Loria_N_Turn02,Loria,22,0,0,22
261002,14/8/2022,11:15:00,11:30:00,LineaA,LineaA_Peru_S_Turn01,Peru,1,0,0,1
80521,4/8/2022,21:30:00,21:45:00,LineaC,LineaC_SanMartin_S_Turn02,General San Martin,5,0,1,6
357706,19/8/2022,15:30:00,15:45:00,LineaC,LineaC_Lavalle_N_Turn01,Lavalle,12,0,1,13
227238,12/8/2022,13:00:00,13:15:00,LineaA,LineaA_PJunta_S_Turn01,Primera Junta,0,0,2,2
584287,31/8/2022,13:00:00,13:15:00,LineaB,LineaB_Tronador_Turn03,Tronador,35,0,0,35
352874,19/8/2022,11:30:00,11:45:00,LineaB,LineaB_Malabia_N_Turn01,Malabia,40,1,4,45
352013,19/8/2022,10:45:00,11:00:00,LineaA,LineaA_Acoyte_N_Turn03,Acoyte,3,0,0,3
285256,15/8/2022,20:45:00,21:00:00,LineaB,LineaB_Dorrego_N_Turn04,Dorrego,5,0,0,5
481992,26/8/2022,06:45:00,07:00:00,LineaA,LineaA_PJunta_S_Turn04,Primera Junta,19,0,0,19
353294,19/8/2022,11:45:00,12:00:00,LineaA,LineaA_Congreso_S_Asc01,Congreso,4,0,0,4
72730,4/8/2022,14:45:00,15:00:00,LineaA,LineaA_Congreso_N_Turn03,Congreso,27,0,1,28
462135,25/8/2022,06:45:00,07:00:00,LineaC,LineaC_DNorte_N_Turn01,Diagonal Norte,1,0,0,1
380979,20/8/2022,19:30:00,19:45:00,LineaC,LineaC_Constitucion_Turn22,Constitucion,33,0,0,33
404153,22/8/2022,09:45:00,10:00:00,LineaB,LineaB_Medrano_N_Turn02,Medrano,41,0,2,43
519157,27/8/2022,22:30:00,22:45:00,LineaC,LineaC_Lavalle_S_Turn02,Lavalle,15,0,0,15
42456,3/8/2022,06:45:00,07:00:00,LineaC,LineaC_AVMayo_S_Turn01,Avenida de Mayo,7,0,0,7
141781,8/8/2022,10:15:00,10:30:00,LineaC,LineaC_Lavalle_N_Turn03,Lavalle,5,0,0,5
503943,27/8/2022,08:30:00,08:45:00,LineaB,LineaB_Dorrego_S_Turn01,Dorrego,4,0,0,4
475708,25/8/2022,18:45:00,19:00:00,LineaB,LineaB_Florida_E_Turn01,Florida,26,0,0,26
543771,29/8/2022,13:15:00,13:30:00,LineaC,LineaC_SanMartin_S_Turn02,General San Martin,2,0,0,2
431599,23/8/2022,15:45:00,16:00:00,LineaA,LineaA_SanPedrito_Oeste_Turn03,San Pedrito,20,0,0,20
276529,15/8/2022,12:00:00,12:15:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,5,0,0,5
53195,3/8/2022,15:45:00,16:00:00,LineaC,LineaC_AVMayo_S_Turn01,Avenida de Mayo,20,0,1,21
84196,5/8/2022,07:15:00,07:30:00,LineaB,LineaB_Uruguay_S_Turn01,Uruguay,8,0,2,10
516591,27/8/2022,20:00:00,20:15:00,LineaC,LineaC_Indepen_Turn01,Independencia,2,0,0,2
234025,12/8/2022,18:45:00,19:00:00,LineaA,LineaA_SanPedrito_Oeste_Turn02,San Pedrito,17,0,1,18
313296,17/8/2022,10:45:00,11:00:00,LineaA,LineaA_SnzPena_S_Turn03,Saenz Peña ,25,0,0,25
118001,6/8/2022,20:00:00,20:15:00,LineaA,LineaA_SanPedrito_Oeste_Turn03,San Pedrito,7,0,0,7
495741,26/8/2022,18:00:00,18:15:00,LineaA,LineaA_Carabobo_E_Turn02,Carabobo,25,0,1,26
47146,3/8/2022,10:45:00,11:00:00,LineaA,LineaA_Flores_Este_Turn01,Flores,34,0,1,35
342293,18/8/2022,19:45:00,20:00:00,LineaA,LineaA_Miserere_Q_HALL_Turn03,Plaza Miserere,1,0,0,1
87125,5/8/2022,09:45:00,10:00:00,LineaB,LineaB_Pasteur_N_Turn02,Pasteur,10,0,0,10
280434,15/8/2022,16:00:00,16:15:00,LineaC,LineaC_Lavalle_S_Turn02,Lavalle,10,0,0,10
175981,9/8/2022,21:45:00,22:00:00,LineaB,LineaB_Pellegrini_E_Turn05,Carlos Pellegrini,30,0,2,32
326232,18/8/2022,06:00:00,06:15:00,LineaB,LineaB_Lacroze_S_Turn02,Federico Lacroze,3,0,0,3
537178,29/8/2022,07:45:00,08:00:00,LineaC,LineaC_Constitucion_Turn26,Constitucion,169,0,3,172
395651,21/8/2022,18:30:00,18:45:00,LineaB,LineaB_Pasteur_N_Turn01,Pasteur,2,0,0,2
127343,7/8/2022,13:45:00,14:00:00,LineaB,LineaB_Pueyr_N_Turn02,Pueyrredon,14,0,0,14
258933,14/8/2022,09:15:00,09:30:00,LineaB,LineaB_Lacroze_E_Turn01,Federico Lacroze,2,0,0,2
581022,31/8/2022,10:15:00,10:30:00,LineaB,LineaB_Medrano_S_Turn02,Medrano,10,0,1,11
127604,7/8/2022,14:00:00,14:15:00,LineaC,LineaC_Retiro_Turn02,Retiro,2,0,0,2
486646,26/8/2022,10:30:00,10:45:00,LineaC,LineaC_Constitucion_Turn26,Constitucion,27,0,1,28
444151,24/8/2022,09:00:00,09:15:00,LineaB,LineaB_Florida_O_Turn01,Florida,7,0,0,7
1931,1/8/2022,07:15:00,07:30:00,LineaA,LineaA_Lima_N_Turn02,Lima,5,0,1,6
464337,25/8/2022,08:45:00,09:00:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,20,0,3,23
510722,27/8/2022,14:45:00,15:00:00,LineaB,LineaB_Echeverria_Este_Turn02,Echeverria,8,0,0,8
513223,27/8/2022,17:00:00,17:15:00,LineaB,LineaB_Tronador_Turn01,Tronador,20,0,0,20
587620,31/8/2022,15:45:00,16:00:00,LineaC,LineaC_SanJuan_Turn02,San Juan,22,0,0,22
61442,3/8/2022,23:00:00,23:15:00,LineaC,LineaC_Lavalle_S_Turn02,Lavalle,3,0,0,3
185844,10/8/2022,12:45:00,13:00:00,LineaB,LineaB_Florida_O_Turn01,Florida,35,0,5,40
108576,6/8/2022,11:15:00,11:30:00,LineaC,LineaC_SanMartin_N_Turn02,General San Martin,11,0,0,11
242191,13/8/2022,09:00:00,09:15:00,LineaA,LineaA_Flores_Oeste_Turn03,Flores,4,0,0,4
397901,21/8/2022,20:45:00,21:00:00,LineaB,LineaB_Pasteur_S_Turn03,Pasteur,3,0,0,3
381525,20/8/2022,20:00:00,20:15:00,LineaB,LineaB_Tronador_Turn02,Tronador,5,0,0,5
384696,20/8/2022,23:15:00,23:30:00,LineaB,LineaB_JMRosas_Oeste_Turn05,Rosas,0,0,1,1
16060,1/8/2022,19:00:00,19:15:00,LineaB,LineaB_Pellegrini_E_Turn04,Carlos Pellegrini,45,0,0,45
112500,6/8/2022,14:45:00,15:00:00,LineaB,LineaB_Florida_O_Turn01,Florida,27,0,1,28
25322,2/8/2022,09:45:00,10:00:00,LineaC,LineaC_AVMayo_N_Turn02,Avenida de Mayo,6,1,1,8
9314,1/8/2022,13:30:00,13:45:00,LineaB,LineaB_JMRosas_Oeste_Turn03,Rosas,16,0,0,16
489040,26/8/2022,12:30:00,12:45:00,LineaB,LineaB_Lacroze_S_Turn04,Federico Lacroze,1,0,0,1
188330,10/8/2022,14:45:00,15:00:00,LineaA,LineaA_PMayo_O_Turn04,Plaza de Mayo,14,0,0,14
402068,22/8/2022,08:00:00,08:15:00,LineaB,LineaB_Medrano_N_Turn04,Medrano,0,0,5,5
58149,3/8/2022,19:45:00,20:00:00,LineaA,LineaA_Acoyte_S_Turn02,Acoyte,8,0,1,9
587493,31/8/2022,15:45:00,16:00:00,LineaB,LineaB_Pellegrini_O_Turn01,Carlos Pellegrini,53,0,1,54
489752,26/8/2022,13:15:00,13:30:00,LineaB,LineaB_Malabia_N_Turn02,Malabia,39,0,0,39
557528,30/8/2022,07:30:00,07:45:00,LineaB,LineaB_JMRosas_Oeste_Turn07,Rosas,73,0,0,73
311117,17/8/2022,08:45:00,09:00:00,LineaC,LineaC_Constitucion_Turn19,Constitucion,171,0,0,171
392264,21/8/2022,15:15:00,15:30:00,LineaB,LineaB_Lacroze_E_Turn02,Federico Lacroze,3,0,0,3
497264,26/8/2022,19:15:00,19:30:00,LineaC,LineaC_Constitucion_Plaza_Turn05,Constitucion,2,0,0,2
439389,23/8/2022,22:30:00,22:45:00,LineaA,LineaA_Alberti_Turn01,Alberti,0,0,2,2
569622,30/8/2022,17:45:00,18:00:00,LineaB,LineaB_Alem_S_Turn02,Leandro N. Alem,76,0,3,79
34442,2/8/2022,17:15:00,17:30:00,LineaB,LineaB_CallaoB_S_Turn01,Callao.B,113,0,2,115
